symbol,name,price,exp_return_3m,standard_deviation,sharpe
ALGN,Align Technology,268.77,54.02,34.80032508248804,1.5071698288931648
QRVO,Qorvo Inc,101.89,39.46,12.118787199647041,3.1265504852749246
STT,State Street Corp,73.01,44.55,25.529663115777453,1.6835318118020193
XRX,Xerox Corp,38.3,36.4,8.871107094764131,3.9262292324886054
